Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,fragment,foamed_plastic,pellet,foil,fiber,fishing_line,cigarette_butt,rope,rubber,fabric,unclear
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,19,5,25,mesoplastics,0,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,20,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,21,5,25,mesoplastics,0,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,22,5,25,mesoplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,23,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,24,5,25,mesoplastics,1,0,0,1,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,25,5,25,mesoplastics,0,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,1,1,5,microplastics,1,2,0,1,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,2,1,5,microplastics,1,3,1,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,3,1,5,microplastics,0,1,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,4,1,5,microplastics,1,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,5,1,5,microplastics,2,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,6,1,5,microplastics,3,0,0,0,0,1,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,7,1,5,microplastics,2,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,8,1,5,microplastics,18,9,0,0,0,1,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,9,1,5,microplastics,13,1,2,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,10,1,5,microplastics,8,0,6,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,11,1,5,microplastics,21,1,4,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,12,1,5,microplastics,25,0,2,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,13,1,5,microplastics,6,1,1,3,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,14,1,5,microplastics,13,2,1,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,15,1,5,microplastics,5,2,3,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,16,1,5,microplastics,12,14,0,1,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,17,1,5,microplastics,14,34,5,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,18,1,5,microplastics,13,12,4,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,19,1,5,microplastics,4,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,20,1,5,microplastics,2,1,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,21,1,5,microplastics,0,1,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,22,1,5,microplastics,0,0,1,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,23,1,5,microplastics,2,0,0,0,0,1,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,24,1,5,microplastics,53,490,5,1,0,1,0,0,0,2,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,25,1,5,microplastics,7,3,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,26,1,5,microplastics,1,2,0,2,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,27,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,28,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,29,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-05-30,Taiwan,Longmen_Beach,25.02951,121.9355,A,30,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
