sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,Dominant_Size,dominant_color,source,environment_type,location,concentration_level,color_display
DOER_1178,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,178.7,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1177,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,93.2,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low,unknown
DOER_1176,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,124.3,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1175,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,256.4,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1174,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,233.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1173,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,357.4,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1172,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,341.8,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1156,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,46.6,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1170,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,574.9,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1184,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,170.9,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1168,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,473.9,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1167,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,675.9,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1166,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,807.9,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_1165,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,2377.2,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",High,unknown
DOER_1164,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,42.2,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1163,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,37.3,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1162,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,27.0,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1161,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,20.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1160,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,49.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1159,North America,United States,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,2016.0,unknown,20.1,microplastics,<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low,unknown
DOER_1171,North America,United States,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,2016.0,unknown,730.3,microplastics,<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Medium,unknown
DOER_592,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Wickford Harbor-Station 6,2019.0,unknown,536.0,mesoplastics,<0.5 mm,unknown,DOER Database,Estuary,"Wickford Harbor-Station 6, United States",Medium,unknown
DOER_591,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Hope Island-Station 5,2019.0,unknown,320.0,mesoplastics,<0.5 mm,unknown,DOER Database,Estuary,"Hope Island-Station 5, United States",Medium,unknown
DOER_590,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Arnold Point-Station 4,2019.0,unknown,36836032.0,mesoplastics,<0.5 mm,unknown,DOER Database,Estuary,"Arnold Point-Station 4, United States",Very High,unknown
DOER_589,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Rocky Point-Station 3,2019.0,unknown,2344.0,mesoplastics,<0.5 mm,unknown,DOER Database,Estuary,"Rocky Point-Station 3, United States",High,unknown
DOER_588,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Conimicut Point Beach-Station 2,2019.0,unknown,2152.0,mesoplastics,<0.5 mm,unknown,DOER Database,Estuary,"Conimicut Point Beach-Station 2, United States",High,unknown
DOER_587,North America,United States,Estuarine,Narragansett Bay,Coastal,Subtidal,Fields Point-Station 1,2019.0,unknown,360.0,mesoplastics,<0.5 mm,unknown,DOER Database,Estuary,"Fields Point-Station 1, United States",Medium,unknown
