sample_id,Continent,Country,region,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,log_concentration,Size_class,Standardized_Shapes,Dominant_Size,dominant_color,source,environment_type,location,concentration_level
DOER_1144,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,173.3,2.2412973871099933,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium
DOER_1181,North America,United States,North America,Estuarine,Little Lake,Coastal,Subtidal,LLSWMA-4,,,46.6,1.677606952720493,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"LLSWMA-4, United States",Low
DOER_1155,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,22.6,1.3729120029701065,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low
DOER_1154,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,0.0,0.0,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Very Low
DOER_1153,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,74.1,1.8756399370041683,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low
DOER_1152,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,26.5,1.4393326938302626,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low
DOER_1151,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,103.1,2.017450729510536,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium
DOER_1150,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,26.5,1.4393326938302626,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low
DOER_1149,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,157.1,2.198931869932209,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium
DOER_1148,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,0.0,0.0,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Very Low
DOER_1147,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,0.0,0.0,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Very Low
DOER_1157,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,46.2,1.6739419986340878,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Low
DOER_1145,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,174.8,2.245018870737753,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Medium
DOER_1158,North America,United States,North America,Estuarine,Bay Champagne,Coastal,Subtidal,BC-C,,,0.0,0.0,microplastics,"fiber, foil, fragment",<1 mm,unknown,DOER Database,Estuary,"BC-C, United States",Very Low
